WT	<Solution 755.003 at 0x1a8cd31c3d0>
genes knocked out	BIOMASS_maintenance flux using 10% technique	time technique 1	BIOMASS_maintenance flux using total KO	time technique 2
['140838_AT1']	755.003215550663	3.9283902645111084	755.003215550663	4.123170375823975
['36_AT1']	755.003215550663	3.4490339756011963	755.003215550663	3.6998562812805176
['622_AT1', '622_AT2', '622_AT3']	755.003215550663	2.393313407897949	755.003215550663	2.3456308841705322
['34_AT1']	755.003215550663	2.382458209991455	755.003215550663	2.389277219772339
['84129_AT1']	755.003215550663	6.267089366912842	755.003215550663	2.7419545650482178
['23743_AT1']	755.003215550663	2.681027889251709	755.003215550663	2.623006820678711
['80724_AT1']	755.003215550663	2.6247551441192627	755.003215550663	2.596182346343994
['635_AT1']	755.003215550663	2.6420047283172607	755.003215550663	2.639824628829956
['27034_AT1']	755.003215550663	2.6469452381134033	755.003215550663	2.663172721862793
['10599_AT1']	755.003215550663	2.6669552326202393	755.003215550663	2.653345823287964
['28976_AT1']	755.003215550663	6.560076713562012	755.003215550663	2.719682455062866
['1244_AT1']	755.003215550663	2.6837680339813232	755.003215550663	2.674262285232544
['35_AT1']	755.003215550663	2.726487159729004	755.003215550663	2.721017837524414
['3712_AT1']	755.003215550663	2.773190975189209	755.003215550663	2.733398199081421
['1607_AT1', '1607_AT2']	755.003215550663	2.752218723297119	755.003215550663	2.9629056453704834
['8714_AT1', '8714_AT2', '8714_AT3']	755.003215550663	2.73215913772583	755.003215550663	2.750001907348633
['28234_AT1']	755.003215550663	2.965608835220337	755.003215550663	6.917638540267944
['644_AT1']	755.003215550663	2.746398687362671	755.003215550663	2.8062314987182617
['1468_AT1']	663.4115295751805	2.9614298343658447	663.4115295751805	2.942378520965576
['8402_AT1']	755.003215550663	2.862870693206787	755.003215550663	2.8377678394317627
['64849_AT1', '64849_AT2']	755.003215550663	2.82273268699646	755.003215550663	2.859915018081665
['645_AT1']	755.003215550663	2.829655170440674	755.003215550663	3.0663740634918213
['9488_AT1']	755.003215550663	2.8313488960266113	755.003215550663	2.9706966876983643
['1610_AT1']	755.003215550663	6.87978982925415	755.003215550663	2.9476325511932373
['10380_AT1']	755.003215550663	2.9225540161132812	755.003215550663	2.87930965423584
['686_AT1']	755.003215550663	2.866199493408203	755.003215550663	2.885376453399658
['1645_AT1']	755.003215550663	2.9274659156799316	755.003215550663	2.9088172912597656
['2745_AT1']	755.003215550663	2.9054534435272217	755.003215550663	2.9275708198547363
['1109_AT1']	755.003215550663	2.945657730102539	755.003215550663	3.076022148132324
['8884_AT1']	755.003215550663	6.952249050140381	755.003215550663	2.971142530441284
['80704_AT1']	755.003215550663	2.939617156982422	755.003215550663	2.9565107822418213
['51022_AT1', '51022_AT2']	755.003215550663	2.947784185409546	755.003215550663	2.9399356842041016
['51733_AT1']	755.003215550663	2.9344708919525146	755.003215550663	2.92930006980896
['7108_AT1']	755.003215550663	3.559748888015747	755.003215550663	4.2578229904174805
['6718_AT1']	755.003215550663	4.113377809524536	755.003215550663	3.8205223083496094
['6510_AT1']	755.003215550663	7.763418197631836	755.003215550663	3.6606881618499756
['50814_AT1']	755.003215550663	4.07623553276062	755.003215550663	3.497382640838623
['3295_AT1']	755.003215550663	4.080830097198486	755.003215550663	3.9651339054107666
['8528_AT1', '8528_AT2']	755.003215550663	4.034198760986328	755.003215550663	3.847973585128784
['6307_AT1']	755.003215550663	3.929619073867798	755.003215550663	3.903019428253174
['6509_AT1']	755.003215550663	4.0962073802948	755.003215550663	3.4775218963623047
['1632_AT1']	755.003215550663	3.908024311065674	755.003215550663	7.874431133270264
['56301_AT1']	755.003215550663	4.040968418121338	755.003215550663	3.683372974395752
['492_AT1']	755.003215550663	3.955051898956299	755.003215550663	4.063371419906616
['10455_AT1']	755.003215550663	4.079398155212402	755.003215550663	4.147514581680298
['490_AT1']	755.003215550663	4.066692113876343	755.003215550663	3.8172807693481445
['6520_AT1']	755.003215550663	3.9148125648498535	755.003215550663	4.091325044631958
['1633_AT1']	746.7371380971582	4.463681936264038	746.7371380971582	9.520902395248413
['211_AT1', '211_AT2']	755.003215550663	4.338801622390747	755.003215550663	4.052779674530029
['493_AT1']	755.003215550663	4.016130208969116	755.003215550663	4.043203592300415
['1638_AT1']	755.003215550663	4.115764617919922	755.003215550663	4.091913461685181
['6319_AT1']	755.003215550663	3.7369587421417236	755.003215550663	3.9845306873321533
['9415_AT1']	755.003215550663	4.014323711395264	755.003215550663	3.9253790378570557
['491_AT1']	755.003215550663	3.856252670288086	755.003215550663	3.8077991008758545
